"","V1","V2"
"1","one of","the"
"2","a lot","of"
"3","thanks for","the"
"4","to be","a"
"5","going to","be"
"6","i want","to"
"7","the end","of"
"8","out of","the"
"9","some of","the"
"10","it was","a"
"11","as well","as"
"12","be able","to"
"13","part of","the"
"14","i dont","know"
"15","i have","a"
"16","the rest","of"
"17","looking forward","to"
"18","im going","to"
"19","the first","time"
"20","thank you","for"
"21","a couple","of"
"22","is going","to"
"23","there is","a"
"24","you have","to"
"25","this is","a"
"26","you want","to"
"27","end of","the"
"28","i need","to"
"29","cant wait","to"
"30","i love","you"
"31","in the","world"
"32","the fact","that"
"33","for the","first"
"34","at the","end"
"35","it is","a"
"36","it would","be"
"37","is one","of"
"38","to go","to"
"39","most of","the"
"40","to have","a"
"41","in front","of"
"42","according to","the"
"43","all of","the"
"44","of the","year"
"45","the united","states"
"46","dont want","to"
"47","to make","a"
"48","i wanted","to"
"49","i had","a"
"50","if you","are"
"51","rest of","the"
"52","have a","great"
"53","i think","i"
"54","back to","the"
"55","it will","be"
"56","to get","a"
"57","as much","as"
"58","to see","the"
"59","i will","be"
"60","want to","be"
"61","when i","was"
"62","i feel","like"
"63","was going","to"
"64","you need","to"
"65","a bit","of"
"66","the same","time"
"67","in order","to"
"68","to do","with"
"69","have to","be"
"70","there was","a"
"71","let me","know"
"72","would like","to"
"73","we need","to"
"74","as long","as"
"75","are going","to"
"76","not going","to"
"77","i am","not"
"78","what do","you"
"79","we have","a"
"80","i cant","wait"
"81","do you","think"
"82","i wish","i"
"83","more than","a"
"84","and it","was"
"85","a little","bit"
"86","go to","the"
"87","will be","a"
"88","and i","have"
"89","side of","the"
"90","the middle","of"
"91","a chance","to"
"92","because of","the"
"93","would be","a"
"94","on the","other"
"95","is not","a"
"96","would love","to"
"97","that i","have"
"98","in new","york"
"99","were going","to"
"100","up in","the"
"101","so i","can"
"102","a number","of"
"103","the number","of"
"104","to take","a"
"105","all the","time"
"106","need to","be"
"107","would have","been"
"108","look forward","to"
"109","as soon","as"
"110","i know","i"
"111","i hope","you"
"112","there will","be"
"113","a long","time"
"114","you so","much"
"115","its going","to"
"116","for me","to"
"117","as part","of"
"118","when it","comes"
"119","had a","great"
"120","the university","of"
"121","is the","best"
"122","in my","life"
"123","is in","the"
"124","for a","while"
"125","will have","to"
"126","has been","a"
"127","dont have","to"
"128","that it","was"
"129","wait to","see"
"130","was one","of"
"131","the top","of"
"132","a bunch","of"
"133","back in","the"
"134","he said","the"
"135","that would","be"
"136","a way","to"
"137","look at","the"
"138","looking for","a"
"139","dont know","what"
"140","in addition","to"
"141","said in","a"
"142","at a","time"
"143","up to","the"
"144","percent of","the"
"145","i would","have"
"146","a great","day"
"147","a part","of"
"148","it comes","to"
"149","i was","a"
"150","many of","the"
"151","how are","you"
"152","but it","is"
"153","that he","was"
"154","top of","the"
"155","in love","with"
"156","of my","life"
"157","you dont","have"
"158","you for","the"
"159","the new","york"
"160","it in","the"
"161","it to","the"
"162","a series","of"
"163","was in","the"
"164","i decided","to"
"165","all over","the"
"166","seems to","be"
"167","it has","been"
"168","im not","sure"
"169","a few","days"
"170","members of","the"
"171","be sure","to"
"172","member of","the"
"173","and in","the"
"174","so much","for"
"175","we had","a"
"176","happy mothers","day"
"177","at this","point"
"178","is a","great"
"179","know how","to"
"180","how do","you"
"181","to say","that"
"182","the only","one"
"183","i went","to"
"184","in terms","of"
"185","trying to","get"
"186","he was","a"
"187","the idea","of"
"188","up with","a"
"189","what to","do"
"190","go back","to"
"191","id like","to"
"192","needs to","be"
"193","the back","of"
"194","what are","you"
"195","but i","dont"
"196","wish i","could"
"197","we want","to"
"198","was able","to"
"199","supposed to","be"
"200","as a","result"
"201","away from","the"
"202","i used","to"
"203","to find","a"
"204","on top","of"
"205","to talk","to"
"206","be in","the"
"207","said he","was"
"208","director of","the"
"209","come up","with"
"210","a group","of"
"211","is expected","to"
"212","check it","out"
"213","out in","the"
"214","you know","what"
"215","i thought","i"
"216","check out","the"
"217","you can","see"
"218","the kind","of"
"219","when he","was"
"220","to deal","with"
"221","i do","not"
"222","is on","the"
"223","for all","the"
"224","i got","a"
"225","of all","the"
"226","we will","be"
"227","its time","to"
"228","used to","be"
"229","its hard","to"
"230","went to","the"
"231","its been","a"
"232","the name","of"
"233","to try","to"
"234","thanks so","much"
"235","much of","the"
"236","a pair","of"
"237","the bottom","of"
"238","get out","of"
"239","said it","was"
"240","front of","the"
"241","the opportunity","to"
"242","over the","past"
"243","i like","to"
"244","for more","than"
"245","no matter","what"
"246","to work","with"
"247","a variety","of"
"248","a member","of"
"249","to figure","out"
"250","take care","of"
"251","by the","time"
"252","the way","to"
"253","and of","course"
"254","has to","be"
"255","i miss","you"
"256","youre going","to"
"257","was the","first"
"258","that is","the"
"259","to all","the"
"260","that there","is"
"261","at least","one"
"262","as far","as"
"263","the beginning","of"
"264","you are","a"
"265","just want","to"
"266","may not","be"
"267","a piece","of"
"268","didnt want","to"
"269","is that","the"
"270","more and","more"
"271","thought it","was"
"272","a matter","of"
"273","you will","be"
"274","are in","the"
"275","to look","at"
"276","and if","you"
"277","in a","statement"
"278","on my","way"
"279","up on","the"
"280","president of","the"
"281","new york","city"
"282","the other","hand"
"283","to keep","the"
"284","be a","good"
"285","the next","day"
"286","the people","who"
"287","please follow","me"
"288","i did","not"
"289","the start","of"
"290","middle of","the"
"291","that was","a"
"292","there are","a"
"293","he is","a"
"294","out to","be"
"295","dont forget","to"
"296","i can","do"
"297","have no","idea"
"298","based on","the"
"299","and a","half"
"300","any of","the"
"301","it can","be"
"302","around the","world"
"303","will not","be"
"304","a sense","of"
"305","the amount","of"
"306","bit of","a"
"307","am going","to"
"308","have been","a"
"309","that we","are"
"310","get back","to"
"311","the most","important"
"312","to create","a"
"313","i didnt","know"
"314","that you","can"
"315","a year","ago"
"316","i just","want"
"317","the white","house"
"318","the last","time"
"319","the cost","of"
"320","to pay","for"
"321","they want","to"
"322","be on","the"
"323","being able","to"
"324","for those","who"
"325","i get","to"
"326","to watch","the"
"327","a good","day"
"328","the size","of"
"329","seem to","be"
"330","first time","in"
"331","i wonder","if"
"332","what kind","of"
"333","with all","the"
"334","and this","is"
"335","had to","be"
"336","let us","know"
"337","the chance","to"
"338","the story","of"
"339","did you","know"
"340","such as","the"
"341","the right","to"
"342","and that","is"
"343","that they","are"
"344","if i","had"
"345","make sure","you"
"346","half of","the"
"347","the best","of"
"348","are you","going"
"349","you and","your"
"350","well as","the"
"351","ready for","the"
"352","due to","the"
"353","as it","is"
"354","the time","to"
"355","been able","to"
"356","to meet","you"
"357","but if","you"
"358","it should","be"
"359","can be","a"
"360","wait for","the"
"361","for you","to"
"362","what is","the"
"363","it could","be"
"364","hope to","see"
"365","down to","the"
"366","happy birthday","to"
"367","this was","a"
"368","to check","out"
"369","so you","can"
"370","people in","the"
"371","i try","to"
"372","what it","is"
"373","the use","of"
"374","the city","of"
"375","for some","reason"
"376","lot of","people"
"377","just have","to"
"378","was a","great"
"379","up for","the"
"380","the ability","to"
"381","at some","point"
"382","or at","least"
"383","my way","to"
"384","will continue","to"
"385","as one","of"
"386","was on","the"
"387","sounds like","a"
"388","just a","few"
"389","and all","the"
"390","so we","can"
"391","you going","to"
"392","we dont","have"
"393","in one","of"
"394","it as","a"
"395","to tell","you"
"396","right now","i"
"397","to think","about"
"398","to use","the"
"399","along with","the"
"400","a fan","of"
"401","im trying","to"
"402","the block","of"
"403","is such","a"
"404","am to","pm"
"405","people who","are"
"406","me in","the"
"407","every time","i"
"408","as you","can"
"409","are trying","to"
"410","it looks","like"
"411","of course","i"
"412","could be","a"
"413","get to","the"
"414","for e","im"
"415","to listen","to"
"416","the death","of"
"417","they are","not"
"418","the importance","of"
"419","that this","is"
"420","how much","i"
"421","on how","to"
"422","the history","of"
"423","when you","have"
"424","i guess","i"
"425","and then","i"
"426","to win","the"
"427","its not","a"
"428","he wants","to"
"429","let you","know"
"430","a list","of"
"431","is trying","to"
"432","the lack","of"
"433","out on","the"
"434","was supposed","to"
"435","to me","and"
"436","me and","i"
"437","they have","a"
"438","more of","a"
"439","be one","of"
"440","the state","of"
"441","feel free","to"
"442","that can","be"
"443","but this","is"
"444","could have","been"
"445","that will","be"
"446","to pick","up"
"447","shout out","to"
"448","a result","of"
"449","looks like","a"
"450","happy new","year"
