"","V1","V2"
"1","of","the"
"2","in","the"
"3","to","the"
"4","for","the"
"5","on","the"
"6","at","the"
"7","and","the"
"8","with","the"
"9","is","a"
"10","it","was"
"11","from","the"
"12","i","have"
"13","will","be"
"14","going","to"
"15","one","of"
"16","have","a"
"17","if","you"
"18","as","a"
"19","want","to"
"20","by","the"
"21","that","the"
"22","the","first"
"23","this","is"
"24","out","of"
"25","was","a"
"26","all","the"
"27","but","i"
"28","you","can"
"29","be","a"
"30","a","lot"
"31","he","was"
"32","thanks","for"
"33","need","to"
"34","has","been"
"35","more","than"
"36","would","be"
"37","about","the"
"38","when","i"
"39","had","a"
"40","thank","you"
"41","into","the"
"42","we","are"
"43","there","is"
"44","they","are"
"45","so","i"
"46","over","the"
"47","like","a"
"48","do","you"
"49","part","of"
"50","lot","of"
"51","trying","to"
"52","said","the"
"53","its","a"
"54","back","to"
"55","some","of"
"56","are","you"
"57","able","to"
"58","can","be"
"59","up","to"
"60","go","to"
"61","way","to"
"62","time","to"
"63","according","to"
"64","kind","of"
"65","im","not"
"66","right","now"
"67","what","i"
"68","should","be"
"69","me","to"
"70","after","the"
"71","through","the"
"72","get","a"
"73","how","to"
"74","wanted","to"
"75","new","york"
"76","not","a"
"77","she","was"
"78","dont","know"
"79","which","is"
"80","last","year"
"81","cant","wait"
"82","during","the"
"83","end","of"
"84","could","be"
"85","most","of"
"86","such","as"
"87","did","not"
"88","love","you"
"89","because","of"
"90","off","the"
"91","forward","to"
"92","make","it"
"93","know","what"
"94","just","a"
"95","used","to"
"96","around","the"
"97","try","to"
"98","looking","for"
"99","see","the"
"100","my","life"
"101","look","at"
"102","ive","been"
"103","been","a"
"104","well","as"
"105","got","a"
"106","who","is"
"107","people","who"
"108","years","ago"
"109","may","be"
"110","no","one"
"111","before","the"
"112","take","a"
"113","high","school"
"114","let","me"
"115","those","who"
"116","now","i"
"117","them","to"
"118","than","the"
"119","number","of"
"120","ready","to"
"121","follow","me"
"122","couple","of"
"123","enough","to"
"124","feel","like"
"125","first","time"
"126","hard","to"
"127","down","the"
"128","went","to"
"129","against","the"
"130","instead","of"
"131","lots","of"
"132","check","out"
"133","rest","of"
"134","too","much"
"135","does","not"
"136","come","to"
"137","might","be"
"138","many","of"
"139","under","the"
"140","hope","you"
"141","away","from"
"142","where","the"
"143","wants","to"
"144","him","to"
"145","decided","to"
"146","wait","to"
"147","across","the"
"148","or","a"
"149","ill","be"
"150","think","i"
"151","their","own"
"152","must","be"
"153","having","a"
"154","along","with"
"155","theres","a"
"156","even","though"
"157","based","on"
"158","each","other"
"159","percent","of"
"160","fact","that"
"161","needs","to"
"162","looks","like"
"163","talking","about"
"164","better","than"
"165","working","on"
"166","then","i"
"167","us","to"
"168","tried","to"
"169","happy","birthday"
"170","say","that"
"171","day","of"
"172","st","louis"
"173","chance","to"
"174","bit","of"
"175","front","of"
"176","since","the"
"177","less","than"
"178","side","of"
"179","much","of"
"180","wish","i"
"181","being","a"
"182","supposed","to"
"183","due","to"
"184","good","morning"
"185","am","i"
"186","rather","than"
"187","listening","to"
"188","talk","about"
"189","tell","you"
"190","made","a"
"191","united","states"
"192","between","the"
"193","makes","me"
"194","seems","to"
"195","next","week"
"196","find","a"
"197","today","i"
"198","full","of"
"199","top","of"
"200","amount","of"
"201","sort","of"
"202","live","in"
"203","lol","i"
"204","continue","to"
"205","his","own"
"206","until","the"
"207","seem","to"
"208","close","to"
"209","told","me"
"210","were","not"
"211","sense","of"
"212","expected","to"
"213","any","of"
"214","excited","to"
"215","interested","in"
"216","waiting","for"
"217","thats","what"
"218","every","day"
"219","here","is"
"220","listen","to"
"221","two","years"
"222","only","one"
"223","your","own"
"224","los","angeles"
"225","while","the"
"226","life","is"
"227","mothers","day"
"228","director","of"
"229","why","i"
"230","year","and"
"231","among","the"
"232","deal","with"
"233","things","that"
"234","came","to"
"235","lack","of"
"236","yes","i"
"237","long","as"
"238","sure","to"
"239","social","media"
"240","wont","be"
"241","san","francisco"
"242","order","to"
"243","an","hour"
"244","piece","of"
"245","opportunity","to"
"246","same","time"
"247","thinking","about"
"248","gonna","be"
"249","needed","to"
"250","easy","to"
"251","use","the"
"252","something","that"
"253","willing","to"
"254","university","of"
"255","group","of"
"256","work","with"
"257","watching","the"
"258","comes","to"
"259","believe","that"
"260","list","of"
"261","become","a"
"262","ability","to"
"263","miss","you"
"264","set","up"
"265","throughout","the"
"266","took","a"
"267","focus","on"
"268","plenty","of"
"269","members","of"
"270","though","i"
"271","plans","to"
"272","type","of"
"273","sounds","like"
"274","rt","i"
"275","known","as"
"276","her","to"
"277","didnt","have"
"278","these","are"
"279","home","and"
"280","likely","to"
"281","version","of"
"282","friends","and"
"283","little","bit"
"284","proud","of"
"285","thousands","of"
"286","few","days"
"287","department","of"
"288","care","of"
"289","place","to"
"290","president","of"
"291","none","i"
"292","behind","the"
"293","half","of"
"294","pay","for"
"295","near","the"
"296","watch","the"
"297","within","the"
"298","nice","to"
"299","idea","of"
"300","middle","of"
"301","million","in"
"302","youre","not"
"303","give","me"
"304","pretty","much"
"305","other","than"
"306","member","of"
"307","great","to"
"308","thing","i"
"309","coming","to"
"310","also","a"
"311","read","the"
"312","put","the"
"313","thought","i"
"314","lets","go"
"315","called","the"
"316","keep","the"
"317","plan","to"
"318","figure","out"
"319","family","and"
"320","state","of"
"321","pick","up"
"322","welcome","to"
"323","bunch","of"
"324","addition","to"
"325","soon","as"
"326","won","the"
"327","using","the"
"328","starting","to"
"329","quite","a"
"330","getting","a"
"331","hundreds","of"
"332","says","the"
"333","access","to"
"334","series","of"
"335","ended","up"
"336","filled","with"
"337","create","a"
"338","still","have"
"339","picked","up"
"340","someone","who"
"341","involved","in"
"342","ways","to"
"343","please","follow"
"344","trip","to"
"345","living","in"
"346","once","again"
"347","return","to"
"348","week","i"
"349","hit","the"
"350","making","a"
"351","three","years"
"352","saw","the"
"353","including","the"
"354","found","a"
"355","tend","to"
"356","help","you"
"357","happened","to"
"358","wake","up"
"359","again","i"
"360","school","and"
"361","glad","you"
"362","night","and"
"363","man","who"
"364","show","i"
"365","very","good"
"366","terms","of"
"367","enjoy","the"
"368","yeah","i"
"369","ice","cream"
"370","without","a"
"371","five","years"
"372","hes","a"
"373","health","care"
"374","pair","of"
"375","food","and"
"376","seemed","to"
"377","story","of"
"378","outside","the"
"379","days","of"
"380","four","years"
"381","shout","out"
"382","nothing","to"
"383","form","of"
"384","left","the"
"385","tonight","at"
"386","difficult","to"
"387","whats","up"
"388","best","of"
"389","history","of"
"390","point","of"
"391","woke","up"
"392","never","been"
"393","our","own"
"394","id","like"
"395","oh","my"
"396","call","me"
"397","failed","to"
"398","really","good"
"399","taking","a"
"400","interest","in"
"401","house","and"
"402","fan","of"
"403","start","to"
"404","o","whats"
"405","variety","of"
"406","wonder","if"
"407","win","the"
"408","continues","to"
"409","inside","the"
"410","earlier","this"
"411","world","of"
"412","managed","to"
"413","level","of"
"414","both","of"
"415","congrats","to"
"416","cost","of"
"417","began","to"
"418","join","us"
"419","gave","me"
"420","money","to"
"421","important","to"
"422","followed","by"
"423","attempt","to"
"424","add","the"
"425","given","the"
"426","grew","up"
"427","tired","of"
"428","haha","i"
"429","onto","the"
"430","doing","it"
"431","city","of"
"432","parts","of"
"433","vice","president"
"434","compared","to"
"435","feels","like"
"436","attention","to"
"437","anyone","else"
"438","hours","of"
"439","responsible","for"
"440","sometimes","i"
"441","name","of"
"442","game","of"
