"","V1","V2"
"304","to take advantage","of"
"305","hundreds of thousands","of"
"306","fell in love","with"
"307","i was trying","to"
"308","you know what","i"
"309","i have a","feeling"
"310","want to be","a"
"311","but i dont","think"
"312","to the point","where"
"313","about percent of","the"
"314","at the start","of"
"315","i the only","one"
"316","it has been","a"
"317","forward to seeing","you"
"318","will be at","the"
"319","a look at","the"
"320","for a chance","to"
"321","middle of the","night"
"322","the history of","the"
"323","the us department","of"
"324","to figure out","how"
"325","to check out","the"
"326","if youre going","to"
"327","and i want","to"
"328","player of the","year"
"329","as a way","to"
"330","by the time","i"
"331","out to be","a"
"332","the past two","years"
"333","all the way","to"
"334","let me tell","you"
"335","please follow me","i"
"336","on the side","of"
"337","the majority of","the"
"338","he was going","to"
"339","thank you to","all"
"340","if i had","a"
"341","in the bottom","of"
"342","in the morning","and"
"343","you can do","it"
"344","a few days","ago"
"345","i hope you","have"
"346","look forward to","seeing"
"347","ill let you","know"
"348","i am so","excited"
"349","more than a","year"
"350","thanks for following","me"
"351","my husband and","i"
"352","the th anniversary","of"
"353","i really need","to"
"354","thanks for all","the"
"355","i wanted to","be"
"356","in the right","direction"
"357","would have been","a"
"358","this is what","i"
"359","to keep up","with"
"360","a wide range","of"
"361","the last couple","of"
"362","open to the","public"
"363","in the world","and"
"364","both sides of","the"
"365","that i need","to"
"366","with some of","the"
"367","rest of the","day"
"368","a big fan","of"
"369","the last time","i"
"370","i hate it","when"
"371","not being able","to"
"372","i am trying","to"
"373","not a fan","of"
"374","on a regular","basis"
"375","what is your","favorite"
"376","it is important","to"
"377","have to worry","about"
"378","is part of","the"
"379","for the sake","of"
"380","nice to meet","you"
"381","back in the","day"
"382","was the first","time"
"383","as far as","i"
"384","to the top","of"
"385","the state department","of"
"386","was a lot","of"
"387","it was great","to"
"388","to share with","you"
"389","are some of","the"
"390","in the next","few"
"391","it was time","to"
"392","am looking forward","to"
"393","in love with","the"
"394","to do the","same"
"395","did not want","to"
"396","a few months","ago"
"397","to say that","i"
"398","i think its","a"
"399","thank you very","much"
"400","i will have","to"
"401","please let me","know"
"402","and it was","a"
"403","go back to","the"
"404","over the past","few"
"405","to hear from","you"
"406","this is a","great"
"407","they are going","to"
"408","be part of","the"
"409","to deal with","the"
"410","to learn more","about"
"411","were going to","be"
"412","of some of","the"
"413","have a hard","time"
"414","might be able","to"
"415","we would like","to"
"416","i want you","to"
"417","will be in","the"
"418","you can see","the"
"419","we were going","to"
"420","really looking forward","to"
"421","at the very","least"
"422","awkward moment when","you"
"423","something to do","with"
"424","were not going","to"
"425","a copy of","the"
"426","have the opportunity","to"
"427","to be the","best"
"428","the last day","of"
"429","do not want","to"
"430","have the right","to"
"431","is supposed to","be"
"432","to talk to","you"
"433","the next few","days"
"434","would like to","see"
"435","of the year","and"
"436","you just have","to"
"437","to the end","of"
"438","so i had","to"
"439","he said he","was"
"440","want to make","sure"
"441","is expected to","be"
"442","i know i","know"
"443","over the next","few"
"444","i think im","going"
"445","want to know","what"
"446","on the edge","of"
"447","when you have","a"
"448","its been a","long"
"449","and some of","the"
"450","believe it or","not"
"451","is a good","thing"
"452","its one of","the"
"453","day to all","the"
"454","a glass of","wine"
"455","let us know","if"
"456","i am looking","forward"
"457","the head of","the"
"458","the edge of","the"
"459","a friend of","mine"
"460","the last few","years"
"461","know what you","think"
"462","great to meet","you"
"463","the best part","of"
"464","and i had","to"
"465","for some reason","i"
"466","have a chance","to"
"467","i think this","is"
"468","it is hard","to"
"469","have been able","to"
"470","as a matter","of"
"471","would be a","good"
"472","a result of","the"
"473","at the expense","of"
"474","i used to","be"
"475","i just had","to"
"476","you might want","to"
"477","square feet on","for"
"478","be sure to","check"
"479","have to say","that"
"480","has nothing to","do"
"481","get a chance","to"
"482","up and down","the"
"483","there is so","much"
"484","the vast majority","of"
"485","the way to","the"
"486","all i can","say"
"487","that this is","a"
"488","on a daily","basis"
"489","i felt like","i"
"490","it has to","be"
"491","to find a","way"
"492","and the fact","that"
"493","what was going","on"
"494","no such thing","as"
"495","to hang out","with"
"496","i miss you","too"
"497","to all of","you"
"498","in the hands","of"
"499","has to do","with"
"500","would be able","to"
"501","its not going","to"
"502","you please follow","me"
"503","so i decided","to"
"504","on one of","the"
"505","im not the","only"
"506","i know that","i"
"507","i just have","to"
"508","turn out to","be"
"509","has a lot","of"
"510","a little more","than"
"511","every now and","then"
"512","time of the","year"
"513","tens of thousands","of"
"514","from all over","the"
"515","said it was","a"
"516","but at the","same"
"517","you dont know","what"
"518","one of these","days"
"519","it was just","a"
"520","i would have","to"
"521","to make up","for"
"522","to find out","what"
"523","have to be","a"
"524","i just need","to"
"525","see you at","the"
"526","the other day","i"
"527","in the heart","of"
"528","the first round","of"
"529","keep up the","good"
"530","dont have to","be"
"531","i think i","have"
"532","but there is","a"
"533","so proud of","you"
"534","you need to","be"
"535","it used to","be"
"536","been a while","since"
"537","a great time","at"
"538","im in love","with"
"539","there is no","way"
"540","a big part","of"
"541","you and your","family"
"542","to one of","the"
"543","but i have","to"
"544","to see you","there"
"545","have a good","day"
"546","but i want","to"
"547","with the exception","of"
"548","the past few","years"
"549","of the most","important"
"550","do i have","to"
"551","a long time","ago"
"552","that you have","to"
"553","the best in","the"
"554","by the fact","that"
"555","im so proud","of"
"556","a good place","to"
"557","thought it was","a"
"558","we had a","great"
"559","with the rest","of"
"560","at this point","i"
"561","is not going","to"
"562","for all of","the"
"563","that it would","be"
"564","couple of years","ago"
"565","for as long","as"
"566","until the end","of"
"567","take the time","to"
"568","to be at","the"
"569","and im going","to"
"570","im not sure","if"
"571","and you have","to"
"572","there would be","no"
"573","is what it","is"
"574","i really wanted","to"
"575","with one of","the"
"576","have to deal","with"
"577","in the th","century"
"578","supposed to be","a"
"579","i was on","the"
"580","to look at","the"
"581","in a lot","of"
"582","my wife and","i"
"583","here are a","few"
"584","to get into","the"
"585","a whole lot","of"
"586","despite the fact","that"
"587","of the fact","that"
"588","dont know if","i"
"589","those of us","who"
"590","for a lot","of"
"591","of the things","that"
"592","a great place","to"
"593","got a lot","of"
"594","you are looking","for"
"595","to look forward","to"
"596","of the university","of"
"597","for the heads","up"
"598","wish i could","be"
"599","it is going","to"
"600","the last two","years"
"601","now i have","to"
"602","that i have","a"
"603","told the associated","press"
"604","to give it","a"
"605","a very long","time"
"606","in the city","of"
"607","and i dont","know"
"608","is it just","me"
"609","in the parking","lot"
"610","you may want","to"
"611","you want me","to"
"612","make it to","the"
"613","up the good","work"
"614","the last of","the"
"615","all you have","to"
"616","i was looking","for"
"617","the day of","the"
"618","made it to","the"
"619","and a couple","of"
"620","id like to","see"
"621","been one of","the"
"622","youre not going","to"
"623","for more information","call"
"624","give it a","try"
"625","for the second","time"
"626","make the most","of"
"627","happy birthday to","my"
"628","according to the","report"
"629","once upon a","time"
"630","like a lot","of"
"631","it is time","to"
"632","that one of","the"
"633","on both sides","of"
"634","on the verge","of"
"635","some of my","favorite"
"636","that a lot","of"
"637","i was at","the"
"638","if there is","a"
"639","do you think","you"
"640","two and a","half"
"641","to check it","out"
"642","i love it","when"
"643","it needs to","be"
"644","more than percent","of"
"645","in the last","few"
"646","and i cant","wait"
"647","havent been able","to"
"648","that i had","to"
"649","on behalf of","the"
"650","g fat g","saturated"
"651","you can get","a"
"652","spent a lot","of"
"653","youre going to","be"
"654","but you have","to"
"655","in the us","and"
"656","do you know","what"
"657","i do have","a"
"658","is the first","time"
"659","was part of","the"
"660","need to go","to"
"661","in the mood","for"
"662","could not be","reached"
"663","to let you","know"
"664","if you do","not"
"665","you dont need","to"
"666","the quality of","the"
"667","the most important","thing"
"668","just around the","corner"
"669","did a great","job"
"670","in the bay","area"
"671","the idea of","a"
"672","i came up","with"
"673","a trip to","the"
"674","so im going","to"
"675","turns out to","be"
"676","just got back","from"
"677","for most of","the"
"678","i hate when","people"
"679","to participate in","the"
"680","fall in love","with"
"681","but im going","to"
"682","do a lot","of"
"683","at the center","of"
"684","we need to","get"
"685","we have a","lot"
"686","there is also","a"
"687","and it will","be"
"688","forward to your","tweets"
"689","to play in","the"
"690","if youd like","to"
"691","will be the","first"
"692","to years in","prison"
"693","i can think","of"
"694","keep an eye","out"
"695","we would love","to"
"696","and of course","the"
"697","couple of weeks","ago"
"698","the president of","the"
"699","so excited to","see"
"700","it is not","a"
"701","for one of","the"
"702","i had to","do"
"703","to a lot","of"
"704","over the last","few"
"705","and out of","the"
"706","in the center","of"
"707","year and a","half"
"708","all you need","to"
"709","one of those","days"
"710","want to see","the"
"711","from around the","world"
"712","you had a","great"
"713","but that doesnt","mean"
"714","what i want","to"
"715","this is why","i"
"716","day of the","week"
"717","the goal is","to"
"718","less than a","week"
"719","with the idea","of"
"720","in my life","i"
"721","dow jones industrial","average"
"722","that would be","a"
"723","right in front","of"
"724","you have any","questions"
"725","are looking for","a"
"726","get a lot","of"
"727","a matter of","time"
"728","hard for me","to"
"729","i cant help","but"
"730","now its time","to"
"731","anything to do","with"
"732","in order to","get"
"733","a good way","to"
"734","my way to","the"
"735","on the part","of"
"736","want it to","be"
"737","the good news","is"
"738","on the phone","with"
"739","the part of","the"
"740","this has been","a"
"741","chance to win","a"
"742","that some of","the"
"743","you have no","idea"
"744","in a series","of"
"745","that it was","a"
"746","its gonna be","a"
"747","that i want","to"
"748","just in time","for"
"749","and i wanted","to"
"750","i was thinking","about"
"751","to pick up","the"
"752","in a few","weeks"
"753","i get to","see"
"754","may be able","to"
"755","but it was","a"
"756","the winner of","the"
"757","know what it","is"
"758","in the same","way"
"759","rest of my","life"
"760","hope everyone had","a"
"761","the dow jones","industrial"
"762","we just have","to"
"763","and there is","no"
"764","it had to","be"
"765","of the day","i"
"766","a good idea","to"
"767","but i wanted","to"
"768","every once in","a"
"769","as a member","of"
"770","of the th","century"
"771","i didnt know","what"
"772","what it takes","to"
"773","im a big","fan"
"774","martin luther king","jr"
"775","with salt and","pepper"
"776","of millions of","dollars"
"777","in terms of","the"
"778","at a news","conference"
"779","and i will","be"
"780","of my life","i"
"781","want to talk","to"
"782","i was supposed","to"
"783","going on in","the"
"784","came up with","a"
"785","but it is","a"
"786","be a lot","of"
"787","the world to","me"
"788","had so much","fun"
"789","know what i","mean"
"790","the future of","the"
"791","it was hard","to"
"792","in need of","a"
"793","a work in","progress"
"794","they dont want","to"
"795","what you want","to"
"796","wish i had","a"
"797","how are you","doing"
"798","if youre looking","for"
"799","is the kind","of"
"800","on his way","to"
"801","more than million","in"
"802","to say the","least"
"803","it is easy","to"
"804","you thanks for","the"
"805","across the street","from"
"806","the first thing","i"
"807","with the fact","that"
"808","so that i","can"
"809","thanks for your","support"
"810","see if i","can"
"811","we went to","the"
"812","the first half","of"
"813","i dont feel","like"
"814","i dont get","it"
"815","th anniversary of","the"
"816","just a matter","of"
"817","i thought you","were"
"818","i dont care","what"
"819","to catch up","on"
"820","to work with","the"
"821","be interesting to","see"
"822","he said it","was"
"823","been a long","time"
"824","take advantage of","the"
"825","for a little","while"
"826","it could be","a"
"827","i didnt get","to"
"828","the problem is","that"
"829","the national weather","service"
"830","that is why","i"
"831","in less than","a"
"832","get me wrong","i"
"833","hope youre having","a"
"834","think it would","be"
"835","more often than","not"
"836","the life of","the"
"837","in the past","few"
"838","you think of","the"
"839","what im talking","about"
"840","seems to be","a"
"841","me i love","you"
"842","a huge fan","of"
"843","even if you","dont"
"844","to the next","level"
"845","the cost of","the"
"846","to get ready","for"
"847","i cant think","of"
"848","but this is","a"
"849","get rid of","the"
"850","a fan of","the"
"851","it may not","be"
"852","to pay for","the"
"853","there was a","lot"
"854","it is what","it"
"855","bring to a","boil"
"856","thank you all","for"
"857","the nature of","the"
"858","to set up","a"
"859","how i feel","about"
"860","here are some","of"
"861","the second half","of"
"862","and thank you","for"
"863","on the new","york"
"864","going to try","to"
"865","i grew up","in"
"866","in a large","bowl"
"867","if i have","to"
"868","with a bit","of"
"869","the power of","the"
"870","to be honest","i"
"871","i can say","is"
"872","its a beautiful","day"
"873","i was about","to"
"874","the other way","around"
"875","you will have","to"
"876","is the fact","that"
"877","im pretty sure","i"
"878","get back to","the"
"879","doesnt have to","be"
"880","by the way","i"
"881","sorry to hear","that"
"882","it just me","or"
"883","on the one","hand"
"884","no matter how","much"
"885","but in the","end"
"886","am i going","to"
"887","hope everyone has","a"
"888","in the new","york"
"889","i had a","great"
"890","at least one","of"
"891","it thanks for","the"
"892","the second time","in"
"893","and is expected","to"
"894","to get away","from"
"895","the next couple","of"
"896","too much of","a"
"897","at one of","the"
"898","a good time","to"
"899","it seems to","me"
"900","for a while","and"
"901","the course of","the"
"902","to be back","in"
"903","to return to","the"
"904","it is one","of"
"905","we cant wait","to"
"906","i am thankful","for"
"907","had a good","time"
"908","shut the fuck","up"
"909","be a good","day"
"910","he was able","to"
"911","sure to check","out"
"912","what it means","to"
"913","to focus on","the"
"914","and thanks for","the"
"915","to try to","get"
"916","the number of","people"
"917","you are in","the"
"918","to go out","and"
"919","so much so","that"
"920","to come back","to"
"921","do not have","to"
"922","that it will","be"
"923","a hell of","a"
"924","at the heart","of"
"925","is likely to","be"
"926","i can do","it"
"927","on our way","to"
"928","spend a lot","of"
"929","the hell out","of"
"930","is no such","thing"
"931","in charge of","the"
"932","i was so","excited"
"933","i just finished","a"
